Organizationid,GroupId,QuizId,SchemeOfWorkId
156,8414,7188,8400.0
157,10934,7188,8400.0
158,8411,7188,8399.0
159,3337,7188,8400.0
160,11669,7188,8399.0
161,11781,7188,8400.0
162,4294,7188,8399.0
163,1797,7188,8399.0
164,3247,7188,8400.0
165,11061,7188,8400.0
166,10866,7188,8400.0
167,11684,16400,8400.0
168,11355,16400,8399.0
169,1995,16400,8400.0
170,6480,16400,8400.0
171,2308,16400,8400.0
172,11408,16400,8400.0
173,8411,16400,8399.0
174,8613,16400,8399.0
175,10224,16400,8400.0
176,2261,16400,8400.0
177,11669,16400,8399.0
178,11339,16400,8400.0
179,6010,16400,8400.0
180,9729,16400,8400.0
181,8414,16400,8400.0
182,1797,16400,8399.0
183,11781,16400,8400.0
184,4584,16400,8400.0
185,9190,16400,8400.0
186,518,16400,8400.0
187,1641,16400,8400.0
188,10934,16400,8400.0
189,4570,16400,8400.0
190,6158,16400,8400.0
191,11509,16400,8400.0
192,6206,16400,8400.0
193,10707,4907,8413.0
194,9073,4907,8413.0
195,58,4907,8413.0
196,6237,4907,8413.0
197,4034,4907,8413.0
198,933,4907,8413.0
199,8740,6722,8399.0
200,1995,7188,8399.0
201,8362,7188,8400.0
202,11509,7188,8400.0
203,6237,15391,8413.0
204,518,15391,8399.0
205,6822,392,8400.0
206,11684,392,8400.0
207,11355,392,8400.0
208,3247,392,8400.0
209,5026,392,8399.0
210,8414,392,8400.0
211,11669,392,8399.0
212,8362,392,8400.0
213,11781,392,8400.0
214,10224,392,8400.0
215,3337,392,8400.0
216,10866,392,8400.0
217,10934,392,8400.0
218,8411,392,8399.0
219,6094,392,8400.0
220,11509,392,8400.0
221,4294,392,8399.0
222,11781,16161,8400.0
223,11757,16161,8400.0
224,9729,392,8400.0
225,1797,392,8399.0
226,11061,392,8400.0
227,1605,4591,8409.0
228,5906,4591,8409.0
229,11581,4591,8412.0
230,10608,4591,8412.0
231,5437,4591,8409.0
232,4371,4591,8412.0
233,8414,2816,8400.0
234,8411,2816,8399.0
235,11740,4591,8412.0
236,2486,2816,8400.0
237,11684,2816,8400.0
238,989,4591,8409.0
239,11757,4591,8412.0
240,3704,4591,8409.0
241,518,2816,8400.0
242,1641,2816,8400.0
243,5404,4591,8412.0
244,4611,4591,8412.0
245,6206,2816,8400.0
246,3247,2816,8400.0
247,11061,2816,8400.0
248,4034,15391,8409.0
249,11684,9800,8408.0
250,11355,9800,8408.0
251,6480,9800,8399.0
252,10883,9800,8408.0
253,11050,9800,8408.0
254,1371,9800,8408.0
255,2796,9800,8408.0
256,10224,9800,8408.0
257,7303,9800,8399.0
258,3371,9800,8399.0
259,5026,9800,8408.0
260,4207,12940,8412.0
261,10558,12940,8412.0
262,2936,12940,8409.0
263,5437,12940,8409.0
264,5302,12940,8409.0
265,5262,12940,8412.0
266,5906,12940,8409.0
267,10877,12940,8409.0
268,10790,12940,8409.0
269,7174,12940,8412.0
270,7821,12940,8412.0
271,7092,12940,8409.0
272,2159,12940,8412.0
273,3704,12940,8409.0
274,1605,12940,8409.0
275,8221,12940,8412.0
276,5981,12940,8412.0
277,5404,12940,8412.0
278,5885,12940,8412.0
279,4863,12940,8409.0
280,2429,12940,8412.0
281,6680,12940,8409.0
282,11223,12940,8412.0
283,3247,16400,8400.0
284,5026,16400,8400.0
285,1903,6729,8412.0
286,625,7207,8400.0
287,11339,7207,8399.0
288,518,7207,8399.0
289,10790,6729,8409.0
290,7817,7598,8412.0
291,10558,7598,8412.0
292,5437,7598,8409.0
293,482,7598,8412.0
294,9073,7598,8412.0
295,1903,7598,8412.0
296,8674,7598,8412.0
297,11076,7598,8412.0
298,1605,7598,8409.0
299,7234,7598,8412.0
300,4371,7598,8412.0
301,4611,7598,8412.0
302,5262,7598,8412.0
303,11740,7598,8412.0
304,933,7598,8412.0
305,9168,7598,8412.0
306,5885,7598,8412.0
307,4678,7598,8412.0
308,9123,7598,8412.0
309,11757,7598,8412.0
310,8391,7598,8409.0
311,674,7598,8412.0
312,8721,10844,8409.0
313,8052,10844,8409.0
314,6680,10844,8412.0
315,989,4907,8413.0
316,11435,4907,8413.0
317,5471,15391,8413.0
318,5809,12960,66321.0
319,11076,12940,8412.0
320,10996,12940,8412.0
321,11740,12940,8412.0
322,3833,12940,8409.0
323,1836,15391,8408.0
324,8063,15391,8409.0
325,11669,2816,8399.0
326,6094,2816,8400.0
327,2429,6729,8412.0
328,2261,7207,8399.0
329,6206,9800,8399.0
330,8925,9800,8399.0
331,8740,9800,8399.0
332,5437,10844,8409.0
333,5026,2816,8400.0
334,2159,4591,8412.0
335,625,7188,8400.0
336,8920,7188,8400.0
337,5437,11602,8409.0
338,1605,11602,8409.0
339,10707,11602,8412.0
340,482,11602,8412.0
341,8674,11602,8412.0
342,5679,11602,8412.0
343,989,11602,8412.0
344,1903,11602,8409.0
345,4371,11602,8412.0
346,10608,11602,8412.0
347,11076,11602,8412.0
348,5404,11602,8412.0
349,4611,11602,8412.0
350,9168,11602,8412.0
351,7234,11602,8412.0
352,5885,11602,8412.0
353,7274,11602,8412.0
354,11740,11602,8412.0
355,933,11602,8412.0
356,8710,11602,8409.0
357,7817,11602,8412.0
358,2493,11602,8412.0
359,9123,11602,8412.0
360,8052,7598,8412.0
361,2261,6722,8399.0
362,4010,14165,28228.0
363,7646,14165,28228.0
364,3553,14165,28228.0
365,5446,14165,28237.0
366,1766,14165,28228.0
367,9158,14165,28228.0
368,1962,16095,8380.0
369,9878,16095,8380.0
370,2095,16095,8380.0
371,9172,16095,8380.0
372,5188,16095,8380.0
373,10257,16095,8380.0
374,2309,16095,8380.0
375,2794,16095,8380.0
376,5221,16095,8380.0
377,4189,16095,8380.0
378,9799,16095,8380.0
379,5093,16095,8380.0
380,194,16095,8380.0
381,3825,16095,8380.0
382,5234,16095,8380.0
383,617,16095,8380.0
384,7275,16095,8380.0
385,1661,16095,8380.0
386,6329,16095,8380.0
387,340,16095,8380.0
388,8208,16095,8380.0
389,8449,3315,40960.0
390,5434,3315,40960.0
391,3538,3315,40960.0
392,2294,3315,40960.0
393,7427,3315,40960.0
394,186,3315,40960.0
395,5179,3315,40960.0
396,5704,3315,40960.0
397,5654,3315,40960.0
398,605,3315,40960.0
399,10568,3315,40960.0
400,11146,3315,40960.0
401,9990,5810,28228.0
402,4010,5810,28228.0
403,7646,5810,28228.0
404,3553,5810,28228.0
405,5446,5810,28237.0
406,10918,5810,28228.0
407,5272,5810,28228.0
408,9141,5810,28237.0
409,9158,5810,28228.0
410,11826,5810,28228.0
411,4684,5810,28228.0
412,11418,5810,28228.0
413,10600,12199,28228.0
414,3461,12199,28228.0
415,9828,12199,28228.0
416,9641,12199,28228.0
417,376,12199,28228.0
418,4010,12199,28228.0
419,11218,12199,28228.0
420,9877,12199,28228.0
421,8562,9946,28237.0
422,6193,9946,28237.0
423,8627,12199,28228.0
424,10718,12199,28228.0
425,7949,12199,28228.0
426,4248,12199,28228.0
427,7450,9946,28237.0
428,6093,9946,28237.0
429,9158,12199,28228.0
430,9149,12199,28228.0
431,3427,12199,28228.0
432,11355,6402,8399.0
433,8414,6402,8400.0
434,8411,6402,8399.0
435,11684,6402,8400.0
436,10224,6402,8400.0
437,11669,6402,8399.0
438,1797,6402,8399.0
439,3337,6402,8400.0
440,11339,6402,8400.0
441,8613,6402,8399.0
442,10934,6402,8400.0
443,10291,6402,8400.0
444,3247,6402,8400.0
445,6158,6402,8400.0
446,11408,6402,8400.0
447,6206,6402,8400.0
448,11061,6402,8400.0
449,6094,6402,8400.0
450,5188,10761,8380.0
451,9878,10761,8380.0
452,2095,10761,8380.0
453,617,10761,8380.0
454,1962,10761,8380.0
455,10709,10761,8380.0
456,7006,10761,8380.0
457,2309,10761,8380.0
458,5221,10761,8380.0
459,10257,10761,8380.0
460,4189,10761,8380.0
461,194,10761,8380.0
462,3825,10761,8380.0
463,2794,10761,8380.0
464,7694,10761,8380.0
465,5234,10761,8380.0
466,1661,10761,8380.0
467,9172,10761,8380.0
468,7275,10761,8380.0
469,6657,10761,8380.0
470,340,10761,8380.0
471,10794,2862,8412.0
472,5302,2862,8409.0
473,5262,2862,8412.0
474,5437,2862,8409.0
475,10877,2862,8412.0
476,4863,2862,8409.0
477,7174,2862,8412.0
478,6697,2862,8412.0
479,482,2862,8412.0
480,1605,2862,8409.0
481,7092,2862,8409.0
482,4207,2862,8412.0
483,2159,2862,8412.0
484,5885,2862,8412.0
485,11223,2862,8412.0
486,3115,2862,8412.0
487,10790,2862,8409.0
488,7817,2862,8412.0
489,5981,2862,8412.0
490,4611,2862,8412.0
491,2936,2862,8412.0
492,4684,14165,28228.0
493,5272,14165,28228.0
494,9141,14165,28237.0
495,206,3393,40959.0
496,4853,3393,40959.0
497,5438,3393,40959.0
498,1065,3393,40959.0
499,3538,3393,40959.0
500,5547,3393,40959.0
501,2262,3393,40959.0
502,9652,3393,40959.0
503,3618,3393,40959.0
504,2729,3393,40959.0
505,5944,3393,40959.0
506,3524,3393,40959.0
507,8207,3393,40959.0
508,1134,3393,40959.0
509,4975,3393,40959.0
510,4390,3393,40959.0
511,4044,3393,40959.0
512,1360,3393,40959.0
513,7974,3393,40959.0
514,3443,3393,40959.0
515,5056,3393,40959.0
516,13,3393,40959.0
517,11612,3393,40959.0
518,10501,3393,40959.0
519,3358,3393,40959.0
520,2425,3393,40959.0
521,7895,3393,40959.0
522,7716,3393,40959.0
523,6361,3393,40959.0
524,10409,3393,40959.0
525,7915,3393,40959.0
526,6191,3393,40959.0
527,5239,3393,40959.0
528,9183,3393,40959.0
529,5530,3393,40959.0
530,7810,3393,40959.0
531,4820,3393,40959.0
532,2604,3393,40959.0
533,1286,3393,40959.0
534,2487,3393,40959.0
535,6538,3393,40959.0
536,4167,3393,40959.0
537,10803,3393,40959.0
538,6308,3393,40959.0
539,7915,3406,40959.0
540,1065,3406,40959.0
541,3772,3406,40959.0
542,5137,3406,40959.0
543,6992,3406,40959.0
544,7885,3406,40959.0
545,3171,3406,40959.0
546,7810,3406,40959.0
547,9242,3406,40959.0
548,2783,14165,28228.0
549,1065,936,40959.0
550,5137,936,40959.0
551,10501,936,40959.0
552,10405,936,40959.0
553,5530,936,40959.0
554,2545,936,40959.0
555,605,12677,40960.0
556,2294,12677,40960.0
557,3538,12677,40960.0
558,6673,12677,40960.0
559,10397,12677,40960.0
560,10042,12677,40960.0
561,10322,12677,40960.0
562,3742,12677,40960.0
563,4795,12677,40960.0
564,1028,12677,40960.0
565,8525,12677,40960.0
566,2654,12677,40960.0
567,8444,12677,40960.0
568,11295,12677,40960.0
569,1956,12677,40960.0
570,7232,12677,40960.0
571,7331,12677,40960.0
572,7566,12677,40960.0
573,4055,12677,40960.0
574,8238,12677,40960.0
575,1753,12677,40960.0
576,11146,12677,40960.0
577,9220,12677,40960.0
578,10055,12677,40960.0
579,1109,12677,40960.0
580,2795,12677,40960.0
581,10164,12677,40960.0
582,7427,12677,40960.0
583,3377,12677,40960.0
584,4162,12677,40960.0
585,8688,12677,40960.0
586,7943,12677,40960.0
587,1854,12677,40960.0
588,2670,12677,40960.0
589,5803,12677,40960.0
590,3695,12677,40960.0
591,5654,12677,40960.0
592,10904,12677,40960.0
593,6983,12677,40960.0
594,10941,12677,40960.0
595,11684,10437,8400.0
596,11355,10437,8399.0
597,1836,10437,8400.0
598,8414,10437,8400.0
599,8411,10437,8399.0
600,10224,10437,8400.0
601,518,10437,8400.0
602,11339,10437,8400.0
603,1797,10437,8399.0
604,3337,10437,8400.0
605,8613,10437,8399.0
606,1641,10437,8400.0
607,6206,10437,8400.0
608,6094,10437,8400.0
609,1995,10437,8400.0
610,11669,10437,8399.0
611,10291,10437,8400.0
612,11061,10437,8400.0
613,2294,2330,40960.0
614,10182,2330,40960.0
615,5704,2330,40960.0
616,605,2330,40960.0
617,3276,2330,40960.0
618,7618,2330,40960.0
619,9640,2330,40960.0
620,2116,17226,28228.0
621,4085,17226,28228.0
622,376,17226,28228.0
623,1086,17226,28237.0
624,9828,17226,28228.0
625,9652,17226,28228.0
626,9158,17226,28228.0
627,6605,17226,28228.0
628,8562,17226,28237.0
629,4248,17226,28228.0
630,6991,17226,28228.0
631,680,17226,28228.0
632,10718,17226,28228.0
633,1736,17226,28228.0
634,5149,17226,28228.0
635,7915,5284,40959.0
636,1065,5284,40959.0
637,3538,5284,40959.0
638,9652,5284,40959.0
639,5944,5284,40959.0
640,5355,5284,40959.0
641,3358,5284,40959.0
642,1134,5284,40959.0
643,4975,5284,40959.0
644,4390,5284,40959.0
645,4044,5284,40959.0
646,6191,5284,40959.0
647,4853,5284,40959.0
648,2425,5284,40959.0
649,11656,5284,40959.0
650,10409,5284,40959.0
651,11330,5284,40959.0
652,7974,5284,40959.0
653,5530,5284,40959.0
654,7810,5284,40959.0
655,1286,5284,40959.0
656,1284,5284,40959.0
657,998,5284,40959.0
658,5438,5284,40959.0
659,13,5284,40959.0
660,6753,5284,40959.0
661,7328,5284,40959.0
662,4248,16676,28228.0
663,4085,16676,28228.0
664,997,16676,28237.0
665,5089,16676,28228.0
666,3553,16676,28228.0
667,9828,16676,28228.0
668,7450,16676,28237.0
669,4975,16676,28228.0
670,9652,16676,28228.0
671,7646,16676,28228.0
672,6191,16676,28228.0
673,680,16676,28228.0
674,3443,16676,28228.0
675,6605,16676,28228.0
676,8004,16676,28228.0
677,7949,16676,28228.0
678,10718,16676,28228.0
679,376,16676,28228.0
680,5272,16676,28228.0
681,1736,16676,28228.0
682,1766,16676,28228.0
683,7790,16676,28228.0
684,9149,16676,28228.0
685,5149,16676,28228.0
686,8270,16676,28228.0
687,6962,16676,28228.0
688,10888,16676,28228.0
689,2208,6142,28237.0
690,9641,14988,28228.0
691,3817,6142,28237.0
692,8087,6142,28237.0
693,9877,14988,28228.0
694,10839,6142,28237.0
695,8987,6142,28237.0
696,470,6142,28237.0
697,11686,6142,28237.0
698,3553,14988,28228.0
699,5791,14988,28228.0
700,6816,14988,28228.0
701,6021,6142,28237.0
702,2719,14988,28228.0
703,11612,14988,28228.0
704,8627,14988,28228.0
705,6093,6142,28237.0
706,5448,6142,28237.0
707,10600,14988,28228.0
708,1850,6142,28237.0
709,7450,6142,28237.0
710,4010,14988,28228.0
711,4715,6142,28237.0
712,6440,14988,28228.0
713,6191,14988,28228.0
714,1766,14988,28228.0
715,9158,14988,28228.0
716,6451,14988,28228.0
717,183,6142,28237.0
718,3027,6142,28237.0
719,5142,14988,28228.0
720,6791,14988,28228.0
721,9574,6142,28237.0
722,4892,14988,28228.0
723,5725,3393,40959.0
724,11656,3393,40959.0
725,998,3393,40959.0
726,9722,3393,40959.0
727,4248,7752,28228.0
728,9427,7752,28237.0
729,8987,7752,28237.0
730,11612,7752,28228.0
731,9877,7752,28228.0
732,9141,7752,28237.0
733,8762,7752,28237.0
734,4975,7752,28228.0
735,1522,7752,28237.0
736,2465,7752,28228.0
737,5446,7752,28237.0
738,9649,7752,28237.0
739,3817,7752,28237.0
740,8627,7752,28228.0
741,4085,7752,28228.0
742,9283,7752,28237.0
743,6868,7752,28237.0
744,10720,7752,28237.0
745,4865,7752,28228.0
746,1021,7752,28228.0
747,5089,7752,28228.0
748,9158,7752,28228.0
749,4010,7752,28228.0
750,9966,7752,28228.0
751,3261,7752,28237.0
752,4248,10830,28228.0
753,4085,10830,28228.0
754,8987,10830,28237.0
755,3817,10830,28237.0
756,6605,10830,28228.0
757,2116,10830,28228.0
758,9828,10830,28228.0
759,10718,10830,28228.0
760,8562,10830,28237.0
761,4975,10830,28228.0
762,8627,10830,28228.0
763,1086,10830,28228.0
764,3274,10830,28228.0
765,680,10830,28228.0
766,9877,10830,28228.0
767,3867,10830,28228.0
768,6093,10830,28237.0
769,1766,10830,28228.0
770,9141,10830,28237.0
771,3553,10830,28228.0
772,2336,10830,28228.0
773,376,10830,28228.0
774,10600,6059,28228.0
775,2208,6059,28237.0
776,3817,6059,28237.0
777,8987,6059,28237.0
778,4010,6059,28228.0
779,9877,6059,28228.0
780,9828,6059,28228.0
781,6868,6059,28228.0
782,6227,6059,28228.0
783,4795,6059,28237.0
784,1028,6059,28237.0
785,2719,6059,28228.0
786,9641,6059,28228.0
787,6816,6059,28228.0
788,376,6059,28228.0
789,8562,6059,28237.0
790,5704,6059,28237.0
791,2336,6059,28228.0
792,8627,6059,28228.0
793,10718,6059,28228.0
794,8273,6059,28228.0
795,680,6059,28228.0
796,11218,6059,28228.0
797,9501,6059,28228.0
798,288,6059,28228.0
799,470,6059,28237.0
800,9226,6059,28228.0
801,3427,6059,28228.0
802,3726,6059,28228.0
803,6094,6059,28228.0
804,3261,6059,28228.0
805,7285,6059,28228.0
806,7701,6059,28237.0
807,8004,16555,28228.0
808,9158,16555,28228.0
809,2258,16555,28228.0
810,11342,14193,28237.0
811,10600,14193,28228.0
812,5089,14193,28228.0
813,9427,14193,28237.0
814,3461,14193,28228.0
815,708,14193,28237.0
816,4576,14193,28228.0
817,9652,14193,28228.0
818,8762,14193,28237.0
819,4975,14193,28228.0
820,11570,14193,28237.0
821,1424,14193,28237.0
822,9641,14193,28228.0
823,964,14193,28228.0
824,992,14193,28237.0
825,4808,14193,28237.0
826,4864,14193,28237.0
827,4335,14193,28237.0
828,8987,14193,28237.0
829,11612,14193,28228.0
830,3817,14193,28237.0
831,6202,14193,28228.0
832,10914,14193,28237.0
833,4329,14193,28228.0
834,3171,14193,28228.0
835,1086,14193,28237.0
836,10266,14193,28228.0
837,2313,14193,28228.0
838,2762,14193,28228.0
839,9158,14193,28228.0
840,5426,14193,28237.0
841,4246,14193,28228.0
842,3930,14193,28228.0
843,2566,14193,28228.0
844,6791,14193,28228.0
845,7915,3493,40959.0
846,1134,3493,40959.0
847,5438,3493,40959.0
848,1065,3493,40959.0
849,4975,3493,40959.0
850,3538,3493,40959.0
851,4390,3493,40959.0
852,9652,3493,40959.0
853,5530,3493,40959.0
854,3524,3493,40959.0
855,4044,3493,40959.0
856,5239,3493,40959.0
857,7974,3493,40959.0
858,2729,3493,40959.0
859,13,3493,40959.0
860,1360,3493,40959.0
861,11612,3493,40959.0
862,8207,3493,40959.0
863,3358,3493,40959.0
864,10803,3493,40959.0
865,6191,3493,40959.0
866,4853,3493,40959.0
867,11656,3493,40959.0
868,10409,3493,40959.0
869,6992,3493,40959.0
870,2425,3493,40959.0
871,1286,3493,40959.0
872,998,3493,40959.0
873,3443,3493,40959.0
874,6361,3493,40959.0
875,6538,3493,40959.0
876,2487,3493,40959.0
877,7328,3493,40959.0
878,3261,16475,28228.0
879,1424,14739,28237.0
880,9220,14739,28237.0
881,997,14739,28237.0
882,11342,14739,28237.0
883,4808,14739,28237.0
884,9990,16475,28228.0
885,8987,14739,28237.0
886,708,14739,28237.0
887,11686,14739,28237.0
888,4335,14739,28237.0
889,5446,14739,28237.0
890,1522,14739,28237.0
891,10996,14739,28237.0
892,5562,16475,28228.0
893,8762,14739,28237.0
894,2073,14739,28237.0
895,7450,14739,28237.0
896,8769,16475,28228.0
897,5448,14739,28237.0
898,1824,14739,28237.0
899,6193,14739,28237.0
900,3643,14739,28237.0
901,3817,14739,28237.0
902,9141,14739,28237.0
903,3553,16475,28228.0
904,6868,16475,28228.0
905,8562,14739,28237.0
906,992,14739,28237.0
907,4904,16475,28228.0
908,9877,16475,28228.0
909,9226,16475,28228.0
910,11218,16475,28228.0
911,288,16475,28228.0
912,8627,16475,28228.0
913,6093,14739,28237.0
914,10914,14739,28237.0
915,4865,16475,28228.0
916,1850,14739,28237.0
917,10527,14739,28237.0
918,6440,16475,28228.0
919,1086,14739,28237.0
920,2336,16475,28228.0
921,7068,16475,28228.0
922,11302,14739,28237.0
923,453,14739,28237.0
924,10511,14739,28237.0
925,6791,16475,28228.0
926,10979,648,28237.0
927,11686,648,28237.0
928,9652,3562,28228.0
929,7309,3562,28228.0
930,10263,648,28237.0
931,8769,648,28237.0
932,8672,648,28237.0
933,6021,3562,28228.0
934,10753,648,28237.0
935,1850,648,28237.0
936,4975,3562,28228.0
937,2788,3562,28228.0
938,10839,648,28237.0
939,3171,3562,28228.0
940,10527,648,28237.0
941,3817,16620,28237.0
942,8987,16620,28237.0
943,9877,16620,28228.0
944,9828,16620,28228.0
945,1028,16620,28237.0
946,9641,16620,28228.0
947,4795,16620,28237.0
948,2719,16620,28228.0
949,9641,16620,28237.0
950,6816,16620,28228.0
951,376,16620,28228.0
952,680,16620,28228.0
953,5704,16620,28237.0
954,288,16620,28228.0
955,8627,16620,28228.0
956,10600,16620,28228.0
957,10718,16620,28228.0
958,8273,16620,28228.0
959,6566,16620,28237.0
960,8562,16620,28237.0
961,3261,16620,28228.0
962,7701,16620,28237.0
963,3427,16620,28228.0
964,6868,16620,28228.0
965,9226,16620,28228.0
966,9158,16620,28228.0
967,6814,16620,28228.0
968,10311,16620,28228.0
969,7285,16620,28228.0
970,6227,16620,28228.0
971,8627,14193,28228.0
972,11093,14193,28228.0
973,3234,14193,28237.0
974,5089,4060,28228.0
975,4865,4060,28228.0
976,9652,4060,28228.0
977,6093,4060,28237.0
978,1850,4060,28237.0
979,7646,4060,28228.0
980,3553,4060,28228.0
981,10720,4060,28237.0
982,6193,4060,28237.0
983,4975,4060,28228.0
984,2208,4060,28237.0
985,1173,4060,28228.0
986,10839,4060,28237.0
987,11388,4060,28228.0
988,8181,4060,28228.0
989,11494,4060,28228.0
990,470,4060,28237.0
991,2065,4060,28228.0
992,6451,4060,28228.0
993,1086,4060,28237.0
994,1766,4060,28228.0
995,3427,4060,28228.0
996,9427,14739,28237.0
997,10263,14739,28237.0
998,2719,16475,28228.0
999,1283,14739,28237.0
1000,4684,16475,28228.0
1001,9158,16475,28228.0
1002,8682,16475,28228.0
1003,7309,16475,28228.0
1004,3867,16475,28228.0
1005,8004,4060,28228.0
1006,3867,4060,28228.0
1007,9236,4060,28228.0
1008,9966,4060,28228.0
1009,3553,2104,28228.0
1010,997,13089,28237.0
1011,11342,13089,28237.0
1012,9427,13089,28237.0
1013,7068,2104,28228.0
1014,8987,13089,28237.0
1015,708,13089,28237.0
1016,9429,13089,28237.0
1017,9877,2104,28228.0
1018,11686,13089,28237.0
1019,5562,2104,28228.0
1020,8762,13089,28237.0
1021,7192,2104,28228.0
1022,7401,13089,28237.0
1023,11681,13089,28237.0
1024,10263,13089,28237.0
1025,1824,13089,28237.0
1026,1522,13089,28237.0
1027,5446,13089,28237.0
1028,6193,13089,28237.0
1029,6868,2104,28228.0
1030,964,2104,28228.0
1031,992,13089,28237.0
1032,8627,2104,28228.0
1033,6202,2104,28228.0
1034,3817,13089,28237.0
1035,4864,13089,28237.0
1036,4335,13089,28237.0
1037,288,2104,28228.0
1038,4808,13089,28237.0
1039,10914,13089,28237.0
1040,6991,2104,28228.0
1041,3261,2104,28228.0
1042,1424,13089,28237.0
1043,4865,2104,28228.0
1044,1850,13089,28237.0
1045,7450,13089,28237.0
1046,10527,13089,28237.0
1047,9220,13089,28237.0
1048,6093,13089,28237.0
1049,11218,2104,28228.0
1050,9226,2104,28228.0
1051,9141,13089,28237.0
1052,1086,13089,28237.0
1053,5448,13089,28237.0
1054,2073,13089,28237.0
1055,192,13089,28237.0
1056,10996,13089,28237.0
1057,4010,2104,28228.0
1058,9158,2104,28228.0
1059,10354,2104,28228.0
1060,10511,13089,28237.0
1061,6440,2104,28228.0
1062,6791,13089,28237.0
1063,4248,1919,28228.0
1064,9652,1919,28228.0
1065,8762,1919,28237.0
1066,9427,1919,28237.0
1067,4975,1919,28228.0
1068,4576,1919,28228.0
1069,7949,1919,28228.0
1070,4085,1919,28228.0
1071,5272,1919,28228.0
1072,3553,1919,28228.0
1073,3461,1919,28228.0
1074,1766,1919,28228.0
1075,5089,1919,28228.0
